gene	lr_abs_coef	hr	p
CDH7	0.037067033159167706	0.9698281598547098	0.3315219479336776
C1orf173	0.03587405218053372	0.9427849112496463	0.011719997530578022
GREB1L	0.03543661228399694	0.9437525031057866	0.039334686902647284
WDR72	0.03518679724362906	0.9596061545825968	0.05994829013269725
S100B	0.028843579955881767	0.9394134583951769	0.019589250151392016
WT1	0.028594171515402157	1.054873393775832	0.030068532890837968
PAX7	0.023530268867349435	1.0576076273062087	0.009905935303244262
CAPN8	0.02337916497134442	0.978979525071259	0.3019875070937116
CYP24A1	0.022938461956740142	0.930970483424827	0.010828671222700882
FUT3	0.022449785010565312	1.0239913530298606	0.3233256377183985
ENTPD8	0.018271224907834456	0.97267243912256	0.3295616061363224
CD38	0.018009574428498962	0.9587213974037737	0.1359654461884991
SERPINA11	0.015098880601210635	0.9730715043950645	0.15161132125529078
RBP4	0.014988395061002018	0.9576878478715902	0.08834956254340016
CLGN	0.009154869273002507	0.9725131754947504	0.2585186025693515
DCD	0.007476776431924979	1.032266356006558	0.10233560576794226
SLC44A4	0.007002252819818703	0.9802199183970569	0.32710325498572457
EMX1	0.0069885322360721345	0.968715467968268	0.21154617246253168
CST2	0.00666287931214622	0.9721073985760031	0.2926777657669022
KRT6B	0.006243092249179436	0.971811585042774	0.10700784654600079
TTC36	0.005649483952136426	0.9656912033088024	0.14842483036907472
NKAIN1	0.004539098907891063	0.9662954006661562	0.11806517553303834
ORM2	0.003541462778854832	1.0150459821664177	0.46331563276437726
FCRL5	8.746309159576556e-05	0.9484779092662124	0.0397474990799621
