task	omics	feature	category_id	category
PAM50	miRNA	MIMAT0018073	5	Other
PAM50	miRNA	MIMAT0000428	5	Other
PAM50	miRNA	MIMAT0003247	5	Other
PAM50	miRNA	MIMAT0004682	5	Other
PAM50	miRNA	MIMAT0000089	5	Other
PAM50	miRNA	MIMAT0022491	5	Other
PAM50	miRNA	MIMAT0002820	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0002875	5	Other
PAM50	miRNA	MIMAT0018086	5	Other
PAM50	miRNA	MIMAT0003298	5	Other
PAM50	miRNA	MIMAT0000417	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0001343	5	Other
PAM50	miRNA	MIMAT0004603	1	Signaling/Transport
PAM50	miRNA	MIMAT0000431	5	Other
PAM50	miRNA	MIMAT0022929	5	Other
PAM50	miRNA	MIMAT0022492	5	Other
PAM50	miRNA	MIMAT0015003	5	Other
PAM50	miRNA	MIMAT0019939	5	Other
PAM50	miRNA	MIMAT0003879	5	Other
PAM50	miRNA	MIMAT0000097	1	Signaling/Transport
PAM50	miRNA	MIMAT0000084	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0027541	5	Other
PAM50	miRNA	MIMAT0004810	5	Other
PAM50	miRNA	MIMAT0004957	5	Other
PAM50	miRNA	MIMAT0001412	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0018115	5	Other
PAM50	miRNA	MIMAT0004615	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0002813	5	Other
PAM50	miRNA	MIMAT0019737	5	Other
PAM50	miRNA	MIMAT0004688	5	Other
PAM50	miRNA	MIMAT0005878	5	Other
PAM50	miRNA	MIMAT0004589	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0004983	5	Other
PAM50	miRNA	MIMAT0000433	3	Immune/Inflammation
PAM50	miRNA	MIMAT0023712	5	Other
PAM50	miRNA	MIMAT0019746	5	Other
PAM50	miRNA	MIMAT0000222	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0017990	5	Other
PAM50	miRNA	MIMAT0004757	5	Other
PAM50	miRNA	MIMAT0000077	5	Other
PAM50	miRNA	MIMAT0006764	5	Other
PAM50	miRNA	MIMAT0004674	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0005825	5	Other
PAM50	miRNA	MIMAT0005923	5	Other
PAM50	miRNA	MIMAT0019927	5	Other
PAM50	miRNA	MIMAT0004485	0	Development/Epithelium
PAM50	miRNA	MIMAT0000280	3	Immune/Inflammation
PAM50	miRNA	MIMAT0000760	5	Other
PAM50	miRNA	MIMAT0027357	5	Other
