file_id	file_name	data_type	data_category	data_format	experimental_strategy	workflow_type	access	file_size	case_id	sample_id	sample_type	tissue_type
773ce241-de90-4d41-8527-61574450f978	NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H03_914356.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	3625	TCGA-AC-A2QI	TCGA-AC-A2QI-10A	Blood Derived Normal	Normal
0e23a5a9-902d-4a57-87ad-c9ce385a9730	8e4764e0-bc79-43dd-82d4-9bfffd425d80.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50272	TCGA-D8-A1JH	TCGA-D8-A1JH-01A	Primary Tumor	Tumor
b833606e-0d65-49e9-a50c-2893f538abc1	TCGA-D8-A1JH-01A-11D-A897-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	10261	TCGA-D8-A1JH	TCGA-D8-A1JH-01A	Primary Tumor	Tumor
b833606e-0d65-49e9-a50c-2893f538abc1	TCGA-D8-A1JH-01A-11D-A897-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	10261	TCGA-D8-A1JH	TCGA-D8-A1JH-10A	Blood Derived Normal	Normal
eb05707c-be5a-4faf-ac42-7e5ca6af53e2	520b6207-a3bf-45dd-b74b-d5ca831617b4.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50245	TCGA-BH-A0AW	TCGA-BH-A0AW-01A	Primary Tumor	Tumor
fc62b2b6-e1fd-4ede-901f-bacba311f07b	TCGA-BRCA.0941a978-c8aa-467b-8464-9f979d1f0418.absolute_liftover.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ABSOLUTE LiftOver	open	3431036	TCGA-EW-A1OW	TCGA-EW-A1OW-01A	Primary Tumor	Tumor
f541d19f-8390-40f1-8446-2a3430cae304	21b5525d-dcf3-4768-97c7-c8c3593883cf.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50334	TCGA-BH-A1FU	TCGA-BH-A1FU-01A	Primary Tumor	Tumor
e31d9c97-337e-456b-b39a-5ce2c1eae7ff	TCGA-BRCA.fb59b402-77cf-4eac-aaf8-4ebaf715acbb.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3446660	TCGA-D8-A1JH	TCGA-D8-A1JH-01A	Primary Tumor	Tumor
e31d9c97-337e-456b-b39a-5ce2c1eae7ff	TCGA-BRCA.fb59b402-77cf-4eac-aaf8-4ebaf715acbb.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3446660	TCGA-D8-A1JH	TCGA-D8-A1JH-10A	Blood Derived Normal	Normal
26fcd45d-29c2-4c45-a495-06ee82685bf9	CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_G03_777662.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	15904	TCGA-BH-A1FU	TCGA-BH-A1FU-01A	Primary Tumor	Tumor
82be881e-95b8-4250-a744-5015259e084a	BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B09_697178.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	4419	TCGA-BH-A0AW	TCGA-BH-A0AW-10A	Blood Derived Normal	Normal
1341b934-ead3-4c4a-bd84-09084895fa83	6ddab78f-8bf5-43ef-847b-f68c15475d46.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4231620	TCGA-AN-A0XN	TCGA-AN-A0XN-01A	Primary Tumor	Tumor
0db85fe0-94d6-4b8d-bff4-d69aea8a0806	7e26df57-482c-4bd6-bd8c-4ecd4dea8788.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50171	TCGA-AC-A2FO	TCGA-AC-A2FO-01A	Primary Tumor	Tumor
