feature	jsd
MIMAT0003882	0.03692038027308067
MIMAT0000260	0.036896390798611296
MIMAT0004568	0.036894112935501766
MIMAT0027513	0.03660195376431874
MIMAT0000693	0.036594601641706595
MIMAT0017985	0.0365865826177955
MIMAT0026479	0.03648524086316105
MIMAT0000092	0.036431392844618424
MIMAT0004499	0.03639891963666722
MIMAT0000448	0.036235397772978156
MIMAT0004793	0.03613136661945923
MIMAT0004501	0.03596550861718577
MIMAT0004808	0.035934051715819856
MIMAT0004694	0.0359182168525011
MIMAT0003338	0.035870904353190985
MIMAT0002873	0.0356831675250867
MIMAT0004911	0.03564966220228903
MIMAT0005796	0.03562646246071872
MIMAT0004679	0.03552468185378222
MIMAT0000449	0.03550888074283043
MIMAT0000731	0.035477674492790275
MIMAT0019693	0.03543045458995829
MIMAT0004597	0.03539553179443691
MIMAT0000456	0.03534565372342624
MIMAT0000269	0.03526412722712419
MIMAT0000068	0.035198912691945645
MIMAT0005919	0.035133765250039035
MIMAT0026720	0.03505371885228921
MIMAT0027368	0.03491029611589428
MIMAT0019880	0.03487897975842079
MIMAT0009451	0.03484863191392992
MIMAT0000093	0.03478621861175582
MIMAT0000070	0.03470445214410103
MIMAT0019219	0.03467270062820989
MIMAT0004514	0.03464937123547871
MIMAT0004504	0.03464242939707198
MIMAT0010133	0.03458189994262258
MIMAT0004770	0.03451016394837181
MIMAT0000459	0.03444447470341798
MIMAT0000727	0.03433622685175826
MIMAT0000063	0.034330977887884896
MIMAT0019728	0.03431330661452118
MIMAT0011160	0.0342945468417777
MIMAT0004563	0.03424442839204529
MIMAT0004703	0.03421468837973669
MIMAT0000253	0.034057952341371336
MIMAT0002875	0.034010952202067526
MIMAT0000761	0.03383857964992553
MIMAT0004615	0.033802741963716236
MIMAT0019911	0.033768564341845664
MIMAT0022472	0.033587362001033495
MIMAT0000104	0.033517973129481
MIMAT0004611	0.033480815798358474
MIMAT0000264	0.03333897409086137
MIMAT0000066	0.03326586448055188
MIMAT0000094	0.03326203942058971
MIMAT0004688	0.033192331921049846
MIMAT0004511	0.033110542480761125
MIMAT0029782	0.033110424260185144
MIMAT0004814	0.03292610194954661
MIMAT0005942	0.03290232012013387
MIMAT0019731	0.03290164042153874
MIMAT0022483	0.03289289298854568
MIMAT0004515	0.032883510582062514
MIMAT0005899	0.03287036034708236
MIMAT0018072	0.032830999784862265
MIMAT0003301	0.032780577270531006
MIMAT0000265	0.03276388009669447
MIMAT0004945	0.032728029748257746
MIMAT0002177	0.032707644301451504
MIMAT0005951	0.032647704552262534
MIMAT0003888	0.03238310036663092
MIMAT0002810	0.03237804325310053
MIMAT0027577	0.03235280825108627
MIMAT0019865	0.03234154875615556
MIMAT0003242	0.03233734851432574
MIMAT0000227	0.03231176708121942
MIMAT0005878	0.03223699131683969
MIMAT0027541	0.032173873057482295
MIMAT0002174	0.03208557338463674
MIMAT0021083	0.031960538865698
MIMAT0004819	0.03188692910765252
MIMAT0000732	0.03181698193709981
MIMAT0004757	0.03180326679461932
MIMAT0027536	0.03177798857590092
MIMAT0000763	0.03175627024146089
MIMAT0019061	0.03172620948300045
MIMAT0000438	0.03167289639923078
MIMAT0027517	0.03164550746141419
MIMAT0001618	0.0316049279684374
MIMAT0000086	0.03145116402368994
MIMAT0015045	0.03141647025624163
MIMAT0004784	0.031361559457296365
MIMAT0004809	0.03134171876647608
MIMAT0000084	0.03125924613830955
MIMAT0017993	0.031172013754017396
MIMAT0000682	0.031145575482847535
MIMAT0003881	0.03104548440762865
MIMAT0019229	0.030905705608589386
MIMAT0026481	0.03077445035631062
MIMAT0003886	0.03076993781141898
MIMAT0004977	0.03074307539149162
MIMAT0000733	0.030722368655145185
MIMAT0004493	0.030651090984460578
MIMAT0004604	0.030583311774073536
MIMAT0002173	0.03056492544029308
MIMAT0004560	0.03055411317570471
MIMAT0002805	0.030553665945362372
MIMAT0000245	0.03050513800140607
MIMAT0019738	0.030478472022594922
MIMAT0005893	0.030460996339701632
MIMAT0004518	0.030412173959851938
MIMAT0002816	0.030296160613342598
MIMAT0004657	0.030201902469627152
MIMAT0015084	0.02996901053305933
MIMAT0022861	0.02992129065474559
MIMAT0021018	0.029902159759958337
MIMAT0009201	0.029902159759958337
MIMAT0000433	0.029879041364934147
MIMAT0000064	0.029812251958881243
MIMAT0004765	0.0297586305972802
MIMAT0005577	0.02955821205956167
MIMAT0030019	0.029540578104909485
MIMAT0005885	0.029527478914583627
MIMAT0019748	0.029499964442030874
MIMAT0004799	0.029496123472364424
MIMAT0001545	0.02948421474170444
MIMAT0004505	0.029314158607256863
MIMAT0001343	0.02929461769812992
MIMAT0026483	0.029287886254969028
MIMAT0000081	0.029284286091475518
MIMAT0000440	0.029229102959130747
MIMAT0000722	0.029228145995832542
MIMAT0005948	0.02916027481412347
MIMAT0004486	0.02914238454780521
MIMAT0000226	0.029120405246602237
MIMAT0004767	0.029048834904526723
MIMAT0010195	0.029027402095854967
MIMAT0005909	0.0289848833821076
MIMAT0000434	0.02890975623064948
MIMAT0000271	0.028879048561682052
MIMAT0018115	0.028844631297223783
MIMAT0027677	0.02883403212742153
MIMAT0004487	0.02879095093306288
MIMAT0004553	0.02879095092935265
MIMAT0000242	0.028782145614571444
MIMAT0004762	0.02877475764355044
MIMAT0000454	0.028604334546258273
MIMAT0022923	0.028580269588562714
MIMAT0027603	0.028579101200906024
MIMAT0004489	0.028520973883628002
MIMAT0000098	0.028506870082311144
MIMAT0002818	0.028468469875069048
MIMAT0004658	0.028450472570404017
MIMAT0019201	0.02839075494446538
MIMAT0005924	0.028261267980074264
MIMAT0018349	0.028242682938749243
MIMAT0000728	0.028210805562716216
MIMAT0004500	0.0281421364371689
MIMAT0001629	0.028129678956765294
MIMAT0000082	0.02811575406625847
MIMAT0019729	0.028074527349751154
MIMAT0015073	0.02806325475113615
MIMAT0009197	0.028027304035385957
MIMAT0026623	0.027999607581206672
MIMAT0005943	0.027885892940061694
MIMAT0004801	0.027883547525706733
MIMAT0004813	0.027844392662563867
MIMAT0003220	0.027835416486898794
MIMAT0025460	0.02778755805017918
MIMAT0022272	0.02773209213928978
MIMAT0003294	0.02772071806634256
MIMAT0004567	0.027707958183402902
MIMAT0000447	0.027537240993795228
MIMAT0005584	0.027513962073106763
MIMAT0004978	0.02744225197510263
MIMAT0021020	0.02744026318503937
MIMAT0002844	0.027405216952042972
MIMAT0019737	0.027270047406460277
MIMAT0003880	0.027248181277497625
MIMAT0022720	0.02710848291220483
MIMAT0005452	0.027093748717465133
MIMAT0022705	0.027040881138412045
MIMAT0018356	0.02700555643628063
MIMAT0003239	0.026901932635248316
MIMAT0003163	0.026840362645776147
MIMAT0019225	0.02679018749533074
MIMAT0019706	0.026780628267146438
MIMAT0004699	0.026675738938665636
MIMAT0003180	0.026395431295609097
MIMAT0019918	0.0262460003167259
MIMAT0004957	0.026153734238868395
MIMAT0004507	0.026124334182680287
MIMAT0004502	0.026026066473569035
MIMAT0005901	0.026021634953281927
MIMAT0019814	0.02598403592350526
MIMAT0003257	0.02593889603445526
MIMAT0003339	0.025931884320504972
MIMAT0000760	0.025913552105189627
MIMAT0000707	0.025897265564559197
MIMAT0004921	0.025886649241957847
MIMAT0004562	0.025830038628205418
MIMAT0015085	0.02581177148517615
MIMAT0004956	0.025786718919904382
MIMAT0003306	0.025680708982555624
MIMAT0006764	0.025639031760269545
MIMAT0026625	0.025589136456306567
MIMAT0018965	0.025512547085093155
MIMAT0027449	0.025445005997502452
MIMAT0019822	0.025272226811482584
MIMAT0004785	0.02516893562684245
MIMAT0000075	0.02505673699964933
MIMAT0011159	0.02501287689488325
